"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.375013590E-1,-8.796614408E-1,-9.953543663E0,2.602194622E-2
6.399900050E-1,-8.509475589E-1,-9.948758125E0,6.909275055E-2
6.424786510E-1,-8.389834166E-1,-9.960722923E0,9.062815458E-2
6.449672960E-1,-8.365905881E-1,-9.920044899E0,1.313061416E-1
6.474559420E-1,-8.006982803E-1,-9.893723488E0,1.289133132E-1
6.499445880E-1,-7.217351198E-1,-9.893723488E0,1.531406492E-1
6.524332860E-1,-6.855437160E-1,-9.951150894E0,1.627119333E-1
6.548761510E-1,-6.735795736E-1,-9.946365356E0,1.193420291E-1
6.573647960E-1,-6.257231236E-1,-9.951150894E0,7.627122104E-2
6.598534420E-1,-6.161518097E-1,-9.960722923E0,2.093719784E-3
6.623420880E-1,-6.544370055E-1,-9.999007225E0,-1.944168471E-2
6.648307340E-1,-6.616154313E-1,-9.989436150E0,-4.097708687E-2
6.673194320E-1,-7.097710371E-1,-9.999007225E0,-9.122636169E-2
6.698080780E-1,-7.456633449E-1,-1.002054310E1,-6.729813665E-2
6.722967240E-1,-7.384848595E-1,-9.972686768E0,-7.208377868E-2
6.747853690E-1,-7.217351198E-1,-9.955936432E0,-4.097708687E-2
6.772740150E-1,-7.145566344E-1,-9.932008743E0,1.645065658E-2
6.797626610E-1,-7.022934556E-1,-9.857831001E0,7.866404206E-2
6.822513590E-1,-6.520441771E-1,-9.867402077E0,7.866404206E-2
6.846903170E-1,-6.496513486E-1,-9.805189133E0,7.627122104E-2
6.871789630E-1,-6.329016089E-1,-9.754640579E0,9.541380405E-2
6.896676090E-1,-6.113662124E-1,-9.735498428E0,9.780662507E-2
6.921562550E-1,-5.754738450E-1,-9.682855606E0,8.823533356E-2
6.946449010E-1,-5.228317380E-1,-9.620642662E0,8.105687052E-2
6.971335990E-1,-4.965106845E-1,-9.601499557E0,4.755735025E-2
6.996222440E-1,-4.773681164E-1,-9.608678818E0,2.602194622E-2
7.021108900E-1,-4.316053987E-1,-9.591928482E0,-3.619144112E-2
7.045995360E-1,-4.654040039E-1,-9.601499557E0,-1.103689447E-1
7.070881820E-1,-4.534398913E-1,-9.618249893E0,-1.298106313E-1
7.095768280E-1,-4.316053987E-1,-9.613464355E0,-1.609173268E-1
7.120655260E-1,-4.100699723E-1,-9.615857124E0,-2.422732860E-1
7.145055260E-1,-4.316053987E-1,-9.611071587E0,-2.183450609E-1
7.169942240E-1,-4.630111754E-1,-9.637392044E0,-1.944168359E-1
7.194828170E-1,-4.630111754E-1,-9.701998711E0,-2.279163599E-1
7.219714630E-1,-5.036891699E-1,-9.723533630E0,-2.111666054E-1
7.244601090E-1,-5.156532526E-1,-9.735498428E0,-1.992024779E-1
7.269488070E-1,-5.347958803E-1,-9.788438797E0,-1.489532143E-1
7.294374530E-1,-5.563312769E-1,-9.798010826E0,-9.601201117E-2
7.319260990E-1,-4.797609448E-1,-9.831509590E0,-2.183450572E-2
7.344147440E-1,-4.749752879E-1,-9.819545746E0,2.123630047E-2
7.369033900E-1,-4.725824594E-1,-9.824331284E0,7.148557901E-2
7.393920360E-1,-4.196412563E-1,-9.845867157E0,1.651047617E-1
7.418807340E-1,-3.598206937E-1,-9.848259926E0,2.488535494E-1
7.443222960E-1,-3.526422381E-1,-9.805189133E0,2.727817893E-1
7.468109420E-1,-3.071786165E-1,-9.829116821E0,2.823530734E-1
7.492995880E-1,-2.617149651E-1,-9.793225288E0,3.086741269E-1
7.517882340E-1,-2.617149651E-1,-9.795618057E0,3.086741269E-1
7.542768800E-1,-2.928216755E-1,-9.786046028E0,2.895315289E-1
7.567655780E-1,-2.258226424E-1,-9.783653259E0,2.464607358E-1
7.592542240E-1,-2.425723970E-1,-9.737891197E0,1.651047617E-1
7.617428690E-1,-3.239283562E-1,-9.769296646E0,8.344969153E-2
7.642315150E-1,-4.100699723E-1,-9.778867722E0,-1.465603895E-2
7.667201610E-1,-4.869394004E-1,-9.781260490E0,-2.183450572E-2
7.692088070E-1,-5.467599630E-1,-9.798010826E0,-5.054837838E-2
7.716975050E-1,-6.065805554E-1,-9.774082184E0,-6.969095767E-2
