"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.017995360E-1,1.373372674E-1,2.878608704E-1,3.796641901E-2
7.067768280E-1,1.769174933E-1,2.936048508E-1,-6.840177625E-2
7.117055260E-1,1.839678288E-1,2.719869614E-1,-1.352783740E-1
7.166828170E-1,2.059319615E-1,2.719564438E-1,-2.142208517E-1
7.216601090E-1,1.644506752E-1,2.137422562E-1,-1.888077408E-1
7.266374530E-1,1.179684401E-1,1.524839401E-1,-1.761961132E-1
7.316147440E-1,8.217585087E-2,8.819198608E-2,-8.746083826E-2
7.365920360E-1,1.493165493E-1,5.535697937E-2,3.982206807E-2
7.415222960E-1,1.782776415E-1,4.541492462E-2,1.622469723E-1
7.464995880E-1,2.643333077E-1,5.342483521E-2,3.070136309E-1
7.514768800E-1,3.309695125E-1,6.855106354E-2,3.432726264E-1
7.564542240E-1,3.318430185E-1,8.836936951E-2,3.479999304E-1
7.614315150E-1,3.676386774E-1,1.175651550E-1,2.563023269E-1
7.664088070E-1,2.278342247E-1,1.037969589E-1,8.789231628E-2
7.713379210E-1,7.238584757E-2,8.777713776E-2,2.053306624E-2
7.763152130E-1,-5.203914642E-2,1.039533615E-1,1.147627831E-3
7.812925050E-1,-2.082629204E-1,8.790016174E-2,1.819645241E-2
7.862698490E-1,-3.340765834E-1,6.600761414E-2,7.511214912E-2
7.912471400E-1,-4.544181228E-1,5.375194550E-2,1.701759994E-1
7.962244320E-1,-4.943507910E-1,1.660251617E-2,2.409650683E-1
8.011568800E-1,-5.151398778E-1,3.434753418E-2,3.449481726E-1
8.061341710E-1,-4.054724574E-1,7.921981812E-2,3.937893808E-1
8.111114630E-1,-3.020923734E-1,9.874439240E-2,3.727558255E-1
8.160888070E-1,-1.613870859E-1,1.406679153E-1,3.309851885E-1
8.210660990E-1,1.602244377E-2,1.347389221E-1,2.618734837E-1
8.260433900E-1,1.049089134E-1,1.063117981E-1,1.242642030E-1
8.309710990E-1,8.489328623E-2,6.862258911E-2,-1.835243031E-2
8.359483900E-1,2.432435751E-2,-1.149368286E-2,-8.729561418E-2
8.409256820E-1,-2.858585119E-2,-4.818344116E-2,-8.554060757E-2
8.459030260E-1,-2.406859398E-2,-6.437397003E-2,-5.989082530E-2
8.508803170E-1,3.948593140E-2,-4.596710205E-2,-2.489254624E-2
8.558576090E-1,9.863343835E-2,-7.876968384E-2,4.541438073E-2
