"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.912486510E-1,7.496577501E-2,-1.438064594E-2,-4.873441160E-2
5.936909420E-1,7.709623873E-2,-7.989247330E-3,-5.725627393E-2
5.961795880E-1,7.709623873E-2,-1.597849536E-3,-6.258244067E-2
5.986682340E-1,7.709623873E-2,2.663082443E-3,-7.110430300E-2
6.011568800E-1,7.816147059E-2,1.011971384E-2,-7.749570161E-2
6.036455260E-1,8.348763734E-2,1.651111245E-2,-8.175663650E-2
6.061342240E-1,7.922670245E-2,1.970681176E-2,-8.708280325E-2
6.086228690E-1,8.135717362E-2,2.290250920E-2,-9.240896255E-2
6.111115150E-1,8.348763734E-2,2.929390781E-2,-1.019960642E-1
6.136001610E-1,7.816147059E-2,3.462007269E-2,-1.030612960E-1
6.160888070E-1,7.603100687E-2,3.035914153E-2,-1.062569916E-1
6.185774530E-1,7.283531129E-2,2.822867595E-2,-1.073222235E-1
6.210661510E-1,6.537867337E-2,2.077204362E-2,-1.083874628E-1
6.235080780E-1,5.792204663E-2,5.858781748E-3,-1.062569916E-1
6.259967240E-1,5.579157919E-2,-5.858781748E-3,-9.560466558E-2
6.284853690E-1,5.366111174E-2,-2.063889056E-2,-8.708280325E-2
6.309740150E-1,4.726971686E-2,-2.809552103E-2,-8.175663650E-2
6.334626610E-1,4.300878197E-2,-2.916075476E-2,-7.216953486E-2
6.359513590E-1,3.661738336E-2,-3.342168778E-2,-6.151720881E-2
6.384400050E-1,2.916075476E-2,-3.555215150E-2,-5.299534276E-2
6.409286510E-1,2.916075476E-2,-3.129122034E-2,-4.553871229E-2
6.434172960E-1,2.809552103E-2,-2.703028731E-2,-3.488638252E-2
6.459059420E-1,2.596505545E-2,-2.383458801E-2,-2.529928461E-2
6.483945880E-1,1.850842312E-2,-2.170412242E-2,-2.103835158E-2
6.508832860E-1,1.318225823E-2,-1.544587873E-2,-1.571218669E-2
6.533261510E-1,1.105179265E-2,-1.118494663E-2,-8.255556226E-3
6.558147960E-1,5.725627299E-3,-6.924014539E-3,-2.929390874E-3
6.583034420E-1,4.660394508E-3,-2.663082443E-3,1.331541222E-3
6.607920880E-1,1.464695437E-3,1.597849536E-3,9.853405878E-3
6.632807340E-1,-5.991935730E-3,-5.326165119E-4,1.198387146E-2
6.657694320E-1,-1.025286783E-2,-1.011971384E-2,1.517957076E-2
