"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.464524789E1,-1.010967568E-1,-9.941579819E0,4.037888348E-2
6.464773263E1,-1.489532143E-1,-9.927223206E0,4.277170449E-2
6.465021742E1,-1.345962733E-1,-9.936794281E0,4.516452923E-2
6.465270170E1,-1.154536903E-1,-9.955936432E0,1.884347759E-2
6.465518644E1,-1.226321608E-1,-9.939187050E0,2.093719784E-3
6.465767123E1,-1.393819153E-1,-9.975079536E0,6.879365072E-3
6.466015597E1,-1.034895778E-1,-1.001336479E1,2.602194622E-2
6.466264071E1,-1.417747438E-1,-9.963115692E0,3.320041299E-2
6.466512550E1,-1.082752272E-1,-9.996614456E0,6.879365072E-3
6.466761024E1,-1.106680483E-1,-1.000379372E1,2.362912335E-2
6.467009498E1,-1.034895778E-1,-1.000618649E1,3.798605874E-2
6.467257977E1,-1.154536903E-1,-1.003250694E1,3.320041299E-2
6.467506451E1,-8.673982322E-2,-1.003998470E1,3.798605874E-2
6.467754925E1,-1.058823988E-1,-1.002293587E1,2.602194622E-2
6.468003404E1,-1.058823988E-1,-1.000139999E1,2.841476910E-2
6.468251862E1,-1.058823988E-1,-1.001336479E1,2.602194622E-2
6.468500336E1,-1.130608693E-1,-1.001575756E1,5.712864175E-2
6.468748816E1,-7.716853172E-2,-9.987043381E0,6.430710852E-2
6.468997289E1,-9.391828626E-2,-9.999007225E0,-2.991028305E-4
6.469245763E1,-1.106680483E-1,-9.953543663E0,2.123630047E-2
6.469494242E1,-9.391828626E-2,-9.948758125E0,4.516452923E-2
6.469742716E1,-9.870393574E-2,-9.958329201E0,9.272187948E-3
6.469991190E1,-7.238288224E-2,-9.958329201E0,3.798605874E-2
6.470239670E1,-8.195417374E-2,-9.941579819E0,4.037888348E-2
6.470488144E1,-8.195417374E-2,-9.948758125E0,2.123630047E-2
6.470736618E1,-6.759724021E-2,-9.934401512E0,4.755735025E-2
6.470985097E1,-8.434699476E-2,-9.939187050E0,4.037888348E-2
6.471233638E1,-1.034895778E-1,-9.912865639E0,2.093719784E-3
6.471482112E1,-9.152546525E-2,-9.910472870E0,3.080759197E-2
6.471730592E1,-8.673982322E-2,-9.893723488E0,3.320041299E-2
6.471979066E1,-8.195417374E-2,-9.903294563E0,2.362912335E-2
6.472227539E1,-8.195417374E-2,-9.917651176E0,2.841476910E-2
6.472476019E1,-8.195417374E-2,-9.908080101E0,3.559323773E-2
6.472724493E1,-5.324030295E-2,-9.886545181E0,1.884347759E-2
6.472972967E1,-9.391828626E-2,-9.896116257E0,2.841476910E-2
6.473221446E1,-1.034895778E-1,-9.881759644E0,7.148557901E-2
6.473469920E1,-7.956135273E-2,-9.884152412E0,5.473581702E-2
6.473718394E1,-8.195417374E-2,-9.896116257E0,5.952146277E-2
6.473966873E1,-4.606183618E-2,-9.874580383E0,4.755735025E-2
6.474215310E1,-8.673982322E-2,-9.865009308E0,3.320041299E-2
6.474463784E1,-1.010967568E-1,-9.891330719E0,6.430710852E-2
6.474712263E1,-1.058823988E-1,-9.848259926E0,5.234299600E-2
6.474960737E1,-1.369891018E-1,-9.853045464E0,5.473581702E-2
6.475209211E1,-1.369891018E-1,-9.831509590E0,1.166501082E-2
6.475457690E1,-8.913264424E-2,-9.845867157E0,2.093719784E-3
6.475706164E1,-7.716853172E-2,-9.845867157E0,2.841476910E-2
