"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.179135130E2,3.516208008E-2,-3.193855286E-3,1.789174974E-3
1.179184826E2,3.302846104E-2,-1.500797272E-2,7.742963731E-3
1.179234522E2,2.716681547E-2,-2.791118622E-2,-2.671068162E-2
1.179284217E2,7.048733532E-3,-4.427623749E-2,4.294924438E-3
1.179333913E2,-1.060357317E-2,-4.031467438E-2,-2.083315141E-2
1.179383606E2,-1.274579018E-2,-2.569866180E-2,-4.081816599E-2
1.179433301E2,-1.727188192E-2,-2.546215057E-2,-2.404856309E-2
1.179482997E2,-4.321816564E-2,2.703094482E-2,-1.400921494E-3
1.179532692E2,-5.459083617E-2,2.088165283E-2,-1.638650894E-3
1.179582388E2,-3.973757848E-2,3.141021729E-2,4.013404250E-3
1.179632084E2,-3.830762580E-2,6.213188171E-3,-3.081678040E-2
1.179682147E2,-6.406928599E-2,1.210689545E-2,-1.892162487E-2
1.179731842E2,-7.766872644E-2,2.982330322E-2,-1.903518662E-2
1.179781538E2,-7.690155506E-2,5.689239502E-2,-1.671919599E-2
1.179831234E2,-7.490064204E-2,5.403900146E-2,4.634846002E-3
1.179880929E2,-8.244391531E-2,6.546020508E-2,-3.579608351E-2
1.179930625E2,-6.250140071E-2,6.965637207E-2,-5.567079037E-2
1.179979961E2,-1.005998924E-1,6.787586212E-2,-5.057363212E-2
1.180029657E2,-1.231604218E-1,7.204723358E-2,-3.756217659E-3
1.180079352E2,-1.218029112E-1,7.380580902E-2,-3.688246384E-2
1.180129048E2,-1.369028986E-1,6.604385376E-2,1.702736504E-2
1.180178744E2,-1.076947898E-1,5.834579468E-2,-1.030609943E-2
1.180228439E2,-1.122989282E-1,5.189514160E-2,-7.534794509E-3
1.180278134E2,-1.238089725E-1,1.461505890E-2,-1.552679390E-2
1.180327829E2,-1.350929439E-1,2.126693726E-4,1.595317572E-2
1.180377525E2,-1.724652648E-1,-2.713966370E-2,-2.948790789E-3
1.180427221E2,-1.536229849E-1,-6.970500946E-2,-2.742296457E-2
1.180476916E2,-1.774891913E-1,-7.628440857E-2,-2.083682455E-2
1.180526612E2,-1.856377423E-1,-8.637332916E-2,-1.133731566E-3
1.180576308E2,-1.805229187E-1,-7.974910736E-2,-6.511486601E-3
1.180626004E2,-1.954085827E-1,-9.931087494E-2,2.038126066E-2
1.180675699E2,-1.627114117E-1,-1.127738953E-1,2.435332164E-2
1.180725395E2,-1.502968520E-1,-1.225614548E-1,1.290325169E-2
1.180775090E2,-1.829650104E-1,-8.356857300E-2,1.701711491E-2
1.180824786E2,-1.952988356E-1,-7.103443146E-2,-2.735201269E-3
1.180874497E2,-1.895583868E-1,-5.979347229E-2,1.462869719E-2
1.180924192E2,-1.898292005E-1,-2.132797241E-2,4.604846239E-2
